cause_cat,race_cat,metric_cat,year,median,lower95,upper95
Drugs and Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2014,6724.067049186097,6074.069262501374,7417.720154739045
Drugs and Firearms,Hispanic,"Percent of youth impacted
by parental death",2014,3.7656388373868976e-4,3.4016244853807276e-4,4.154101215117112e-4
Drugs and Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2015,7561.828690582778,6851.02855453971,8326.1879132197
Drugs and Firearms,Hispanic,"Percent of youth impacted
by parental death",2015,4.1882851810398636e-4,3.794592888039655e-4,4.611642352453732e-4
Drugs and Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2016,9311.855145520898,8399.613076375106,10171.962795009731
Drugs and Firearms,Hispanic,"Percent of youth impacted
by parental death",2016,5.100899154564797e-4,4.6011861836749434e-4,5.57205364672017e-4
Drugs and Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2017,10103.759764573759,9221.738957698273,11154.371115455499
Drugs and Firearms,Hispanic,"Percent of youth impacted
by parental death",2017,5.48589361249241e-4,5.006995417833309e-4,6.056328998260641e-4
Drugs and Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2018,10282.806494949476,9410.656149216276,11268.019720063632
Drugs and Firearms,Hispanic,"Percent of youth impacted
by parental death",2018,5.550744571093391e-4,5.079950552054569e-4,6.08257087389874e-4
Drugs and Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2019,11359.303206741348,10357.008065271257,12438.991625748387
Drugs and Firearms,Hispanic,"Percent of youth impacted
by parental death",2019,0.00061110081106774405,5.57179953182893e-4,6.691852249219392e-4
Drugs and Firearms,Hispanic,"Number on youth impacted
by parental death, thousands",2020,14883.157813328748,13577.029078806194,16391.91333912891
Drugs and Firearms,Hispanic,"Percent of youth impacted
by parental death",2020,7.988025770584994e-4,7.287005857880447e-4,8.797798681197482e-4
Drugs and Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",1999,9251.15121828073,8162.821216456155,10462.249474372798
Drugs and Firearms,Non-Hispanic Black,"Percent of youth impacted
by parental death",1999,8.310835827050056e-4,7.333127025474757e-4,9.398834340891061e-4
Drugs and Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2000,9393.520624322626,8318.929149620868,10579.816608059584
Drugs and Firearms,Non-Hispanic Black,"Percent of youth impacted
by parental death",2000,8.380209193259436e-4,7.421537602974481e-4,9.438535342360332e-4
Drugs and Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2001,9502.792958135706,8530.432625685356,10673.082565950492
Drugs and Firearms,Non-Hispanic Black,"Percent of youth impacted
by parental death",2001,8.440192925303069e-4,7.576561692364703e-4,9.479621029435086e-4
Drugs and Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2002,10279.91446440355,9245.373237005195,11449.222554446253
Drugs and Firearms,Non-Hispanic Black,"Percent of youth impacted
by parental death",2002,9.097397445153033e-4,8.181861352743986e-4,0.001013219792601175
Drugs and Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2003,10155.319015216335,9157.12948346648,11256.91993055712
Drugs and Firearms,Non-Hispanic Black,"Percent of youth impacted
by parental death",2003,8.974667413265136e-4,8.092526827682856e-4,9.94819683390849e-4
Drugs and Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2004,9767.138729034714,8873.947517769917,10745.020822761568
Drugs and Firearms,Non-Hispanic Black,"Percent of youth impacted
by parental death",2004,8.620150167850671e-4,7.831849460416374e-4,9.483196217285743e-4
Drugs and Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2005,10627.652273078338,9656.142943012916,11658.928109858203
Drugs and Firearms,Non-Hispanic Black,"Percent of youth impacted
by parental death",2005,9.36650814976181e-4,8.510284232775139e-4,0.0010275406303526218
Drugs and Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2006,11315.511585971393,10358.981548553496,12398.712403569454
Drugs and Firearms,Non-Hispanic Black,"Percent of youth impacted
by parental death",2006,9.963119709260337e-4,9.120910923922448e-4,0.0010916860009281576
Drugs and Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2007,10464.777352963938,9560.96760210669,11443.100527398286
Drugs and Firearms,Non-Hispanic Black,"Percent of youth impacted
by parental death",2007,9.200816153903113e-4,8.406170737640412e-4,0.0010060975081653627
Drugs and Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2008,9549.820581538219,8750.233264679577,10457.098851158229
Drugs and Firearms,Non-Hispanic Black,"Percent of youth impacted
by parental death",2008,8.412531314397897e-4,7.708166946058609e-4,9.21176170714541e-4
Drugs and Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2009,9259.399724770028,8463.561327746767,10082.763729115955
Drugs and Firearms,Non-Hispanic Black,"Percent of youth impacted
by parental death",2009,8.170315465009792e-4,7.468083035681417e-4,8.896835958562305e-4
Drugs and Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2010,8907.117846996545,8176.55686669875,9728.072141066245
Drugs and Firearms,Non-Hispanic Black,"Percent of youth impacted
by parental death",2010,7.883083259017098e-4,7.236513500717718e-4,8.609653981799358e-4
Drugs and Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2011,9170.557488094639,8400.26038797395,9978.036520456575
Drugs and Firearms,Non-Hispanic Black,"Percent of youth impacted
by parental death",2011,8.169236230947674e-4,7.48304687036963e-4,8.888547676894703e-4
Drugs and Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2012,9580.7404626081,8799.45254096729,10416.973881441761
Drugs and Firearms,Non-Hispanic Black,"Percent of youth impacted
by parental death",2012,8.580979930037369e-4,7.881220240131798e-4,9.329951495632288e-4
Drugs and Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2013,9707.532414375273,8938.459717782365,10562.32775030799
Drugs and Firearms,Non-Hispanic Black,"Percent of youth impacted
by parental death",2013,8.716641986620255e-4,8.026071914666866e-4,9.48418461198658e-4
Drugs and Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2014,9640.205358150088,8822.482273492598,10492.803408656438
Drugs and Firearms,Non-Hispanic Black,"Percent of youth impacted
by parental death",2014,8.649638390144654e-4,7.915939394865345e-4,9.414628818775667e-4
Drugs and Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2015,11378.553369025634,10479.321359692996,12355.302815096082
Drugs and Firearms,Non-Hispanic Black,"Percent of youth impacted
by parental death",2015,0.0010198809177106583,9.392810789464884e-4,0.0011074287886151835
Drugs and Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2016,13803.930094067382,12690.328726218853,14986.216519208778
Drugs and Firearms,Non-Hispanic Black,"Percent of youth impacted
by parental death",2016,0.0012367287815200911,0.0011369584368882885,0.0013426527930160107
Drugs and Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2017,15157.828667991002,14004.794595583928,16430.514043788775
Drugs and Firearms,Non-Hispanic Black,"Percent of youth impacted
by parental death",2017,0.0013577862430809717,0.0012545014101666113,0.001471789028894066
Drugs and Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2018,14906.536998555774,13785.223720684036,16150.6633921274
Drugs and Firearms,Non-Hispanic Black,"Percent of youth impacted
by parental death",2018,0.0013375620940837551,0.001236946764297947,0.001449197432623603
Drugs and Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2019,16334.09192625487,15114.169873579649,17686.454727467604
Drugs and Firearms,Non-Hispanic Black,"Percent of youth impacted
by parental death",2019,0.0014675511150149534,0.0013579461258476533,0.0015890553618249286
Drugs and Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2020,23175.42460571088,21492.822190602485,25128.665065940884
Drugs and Firearms,Non-Hispanic Black,"Percent of youth impacted
by parental death",2020,0.0020834263798669705,0.0019321636384887237,0.0022590189642662183
Drugs and Firearms,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",1999,20623.815932783586,18792.861693878367,22490.114808714294
Drugs and Firearms,Non-Hispanic White,"Percent of youth impacted
by parental death",1999,4.54919839245449e-4,4.145326766202967e-4,4.960866333726582e-4
Drugs and Firearms,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2000,21154.387948932912,19541.792700896855,23055.43473026173
Drugs and Firearms,Non-Hispanic White,"Percent of youth impacted
by parental death",2000,4.696206675864345e-4,4.338215672410328e-4,5.118233000008464e-4
Drugs and Firearms,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2001,22817.483105217576,20990.385566361925,24636.475038732693
Drugs and Firearms,Non-Hispanic White,"Percent of youth impacted
by parental death",2001,5.099406851488686e-4,4.6910746237396883e-4,5.505927583236203e-4
Drugs and Firearms,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2002,25487.548537227638,23683.38797352994,27330.360740470092
Drugs and Firearms,Non-Hispanic White,"Percent of youth impacted
by parental death",2002,5.738509221387411e-4,5.332303343386995e-4,6.15341749733031e-4
Drugs and Firearms,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2003,26392.658751644907,24720.453868394437,28153.025638242536
Drugs and Firearms,Non-Hispanic White,"Percent of youth impacted
by parental death",2003,5.99590523690241e-4,5.616012399617482e-4,6.395826788328618e-4
Drugs and Firearms,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2004,27146.688218000883,25521.706887359553,28901.548034001684
Drugs and Firearms,Non-Hispanic White,"Percent of youth impacted
by parental death",2004,6.219860661790255e-4,5.847544253489018e-4,6.621934883472374e-4
Drugs and Firearms,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2005,27949.512412377295,26282.248091265712,29643.55316865392
Drugs and Firearms,Non-Hispanic White,"Percent of youth impacted
by parental death",2005,6.460768756216817e-4,6.075366353653883e-4,6.852360760700698e-4
Drugs and Firearms,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2006,30055.68731799986,28402.988131544887,31714.66426807938
Drugs and Firearms,Non-Hispanic White,"Percent of youth impacted
by parental death",2006,7.01138468823248e-4,6.62584335465516e-4,7.39839049724461e-4
Drugs and Firearms,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2007,31440.37631612463,29833.47507886118,33179.54505881574
Drugs and Firearms,Non-Hispanic White,"Percent of youth impacted
by parental death",2007,7.402096396489921e-4,7.023779109881529e-4,7.811553794636883e-4
Drugs and Firearms,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2008,31874.67960852918,30233.086502731287,33673.34695397822
Drugs and Firearms,Non-Hispanic White,"Percent of youth impacted
by parental death",2008,7.590121510203662e-4,7.199219035375821e-4,8.018427108128501e-4
Drugs and Firearms,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2009,31557.418340595315,30002.003972811202,33264.4413931653
Drugs and Firearms,Non-Hispanic White,"Percent of youth impacted
by parental death",2009,7.600881191613951e-4,7.226245989023633e-4,8.012032676627535e-4
Drugs and Firearms,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2010,32630.868060906032,30975.02855264114,34399.02940717651
Drugs and Firearms,Non-Hispanic White,"Percent of youth impacted
by parental death",2010,7.93880312963624e-4,7.535951944499131e-4,8.368981229810391e-4
Drugs and Firearms,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2011,34155.706220004155,32313.86974145519,36023.760289045735
Drugs and Firearms,Non-Hispanic White,"Percent of youth impacted
by parental death",2011,8.390542331039308e-4,7.938084787325384e-4,8.849440374077976e-4
Drugs and Firearms,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2012,33962.168101062576,32254.65694035307,35859.6049716415
Drugs and Firearms,Non-Hispanic White,"Percent of youth impacted
by parental death",2012,8.420918502654584e-4,7.99754116455531e-4,8.891387914487486e-4
Drugs and Firearms,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2013,34754.48931691841,32909.21612050328,36621.56987277196
Drugs and Firearms,Non-Hispanic White,"Percent of youth impacted
by parental death",2013,8.690832190584863e-4,8.229396559936097e-4,9.157721047712397e-4
Drugs and Firearms,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2014,36280.7595038454,34367.22694754534,38196.20901333245
Drugs and Firearms,Non-Hispanic White,"Percent of youth impacted
by parental death",2014,9.136824048485148e-4,8.65492646648694e-4,9.619204389505448e-4
Drugs and Firearms,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2015,40016.69093501313,37900.17129744116,42090.17025621385
Drugs and Firearms,Non-Hispanic White,"Percent of youth impacted
by parental death",2015,0.0010142379387838574,9.605939601227354e-4,0.0010667910445931517
Drugs and Firearms,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2016,46317.441420189636,43985.73461427796,48814.55079311259
Drugs and Firearms,Non-Hispanic White,"Percent of youth impacted
by parental death",2016,0.0011816157630992197,0.0011221310110854782,0.0012453201411208952
Drugs and Firearms,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2017,49663.125418006726,47183.025997382116,52238.35683859205
Drugs and Firearms,Non-Hispanic White,"Percent of youth impacted
by parental death",2017,0.001277526912371818,0.0012137292007187994,0.0013437717855587644
Drugs and Firearms,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2018,46950.50030093457,44502.645027911705,49457.182199450675
Drugs and Firearms,Non-Hispanic White,"Percent of youth impacted
by parental death",2018,0.001219815292078985,0.0011562178591295854,0.00128494109249834
Drugs and Firearms,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2019,46768.614216069574,44363.82489262964,49220.34657862744
Drugs and Firearms,Non-Hispanic White,"Percent of youth impacted
by parental death",2019,0.0012271908259577358,0.001164090059652101,0.0012915233599330722
Drugs and Firearms,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2020,56943.82381171625,53938.515361849124,60269.51405776533
Drugs and Firearms,Non-Hispanic White,"Percent of youth impacted
by parental death",2020,0.001507311207567863,0.0014277602605913958,0.0015953427067756402
Drugs and Firearms,Total,"Number on youth impacted
by parental death, thousands",1999,34385.90815341909,31835.18767192756,36950.967329783896
Drugs and Firearms,Total,"Percent of youth impacted
by parental death",1999,4.77940187562198e-4,4.424869484066813e-4,5.135927245953964e-4
Drugs and Firearms,Total,"Number on youth impacted
by parental death, thousands",2000,34759.711647340635,32462.065584435564,37251.12226732378
Drugs and Firearms,Total,"Percent of youth impacted
by parental death",2000,4.8026446442683834e-4,4.4851858094428765e-4,5.146875344227336e-4
Drugs and Firearms,Total,"Number on youth impacted
by parental death, thousands",2001,36936.90594087749,34503.342051133084,39505.87537054546
Drugs and Firearms,Total,"Percent of youth impacted
by parental death",2001,5.082745110544518e-4,4.7478717732488964e-4,5.436251081745335e-4
Drugs and Firearms,Total,"Number on youth impacted
by parental death, thousands",2002,40827.7180102424,38358.70764772051,43496.16281904084
Drugs and Firearms,Total,"Percent of youth impacted
by parental death",2002,5.597710622308183e-4,0.00052591953633997495,5.963569469660535e-4
Drugs and Firearms,Total,"Number on youth impacted
by parental death, thousands",2003,42175.8285458127,39758.02559764405,44700.35082478145
Drugs and Firearms,Total,"Percent of youth impacted
by parental death",2003,5.76954736171309e-4,5.438797994084283e-4,6.114895665621067e-4
Drugs and Firearms,Total,"Number on youth impacted
by parental death, thousands",2004,42492.97883422555,40162.31947944002,44986.22371445807
Drugs and Firearms,Total,"Percent of youth impacted
by parental death",2004,5.797311313129327e-4,5.479339774883907e-4,6.137464372460905e-4
Drugs and Firearms,Total,"Number on youth impacted
by parental death, thousands",2005,44808.42778382236,42510.33499096653,47291.614473728696
Drugs and Firearms,Total,"Percent of youth impacted
by parental death",2005,6.094422162721824e-4,5.781857131064355e-4,6.432161930565339e-4
Drugs and Firearms,Total,"Number on youth impacted
by parental death, thousands",2006,48003.73132042875,45483.74923503711,50803.87543385806
Drugs and Firearms,Total,"Percent of youth impacted
by parental death",2006,6.508299771930126e-4,6.16664302191322e-4,6.887940620537408e-4
Drugs and Firearms,Total,"Number on youth impacted
by parental death, thousands",2007,48839.232917896734,46428.65483174598,51579.586534229864
Drugs and Firearms,Total,"Percent of youth impacted
by parental death",2007,6.598166104941905e-4,6.272497709451458e-4,6.968387078257366e-4
Drugs and Firearms,Total,"Number on youth impacted
by parental death, thousands",2008,48713.93415322644,46140.89302536666,51267.830035494175
Drugs and Firearms,Total,"Percent of youth impacted
by parental death",2008,6.57367192299696e-4,6.226454468423792e-4,6.918305834163196e-4
Drugs and Firearms,Total,"Number on youth impacted
by parental death, thousands",2009,48375.70039337572,45929.10364211722,50948.85819945998
Drugs and Firearms,Total,"Percent of youth impacted
by parental death",2009,6.525425772083704e-4,6.195402943168865e-4,6.8725204937502e-4
Drugs and Firearms,Total,"Number on youth impacted
by parental death, thousands",2010,49142.9785498822,46750.682514794025,51806.935799872255
Drugs and Firearms,Total,"Percent of youth impacted
by parental death",2010,6.629955866500614e-4,6.307207478017413e-4,6.9893544930969e-4
Drugs and Firearms,Total,"Number on youth impacted
by parental death, thousands",2011,51520.13646633046,49003.38731813125,54055.86529749181
Drugs and Firearms,Total,"Percent of youth impacted
by parental death",2011,6.970016409032498e-4,6.629532395139581e-4,7.313068131607064e-4
Drugs and Firearms,Total,"Number on youth impacted
by parental death, thousands",2012,51848.103461737424,49328.11994891652,54459.982156308775
Drugs and Firearms,Total,"Percent of youth impacted
by parental death",2012,7.033782609522365e-4,6.691918297709237e-4,7.388113543798785e-4
Drugs and Firearms,Total,"Number on youth impacted
by parental death, thousands",2013,52918.95913137953,50279.06656657181,55677.47186592493
Drugs and Firearms,Total,"Percent of youth impacted
by parental death",2013,7.190883575508566e-4,6.832162232591477e-4,7.565723599599506e-4
Drugs and Firearms,Total,"Number on youth impacted
by parental death, thousands",2014,55148.778696423484,52456.469750109805,57943.86537292633
Drugs and Firearms,Total,"Percent of youth impacted
by parental death",2014,7.493731208464971e-4,7.127894646881628e-4,7.873533422642243e-4
Drugs and Firearms,Total,"Number on youth impacted
by parental death, thousands",2015,61528.986562214304,58532.344030599386,64759.38638040141
Drugs and Firearms,Total,"Percent of youth impacted
by parental death",2015,8.35381927242973e-4,7.94696371488085e-4,8.792412166065938e-4
Drugs and Firearms,Total,"Number on youth impacted
by parental death, thousands",2016,72315.86360941986,68704.64117182027,76149.46938447093
Drugs and Firearms,Total,"Percent of youth impacted
by parental death",2016,9.812287291469657e-4,9.322293115053392e-4,0.001033245588725945
Drugs and Firearms,Total,"Number on youth impacted
by parental death, thousands",2017,78163.28408732169,74359.65490561778,82623.19459010789
Drugs and Firearms,Total,"Percent of youth impacted
by parental death",2017,0.001061534759501881,0.00100987771059739,0.001122104758296788
Drugs and Firearms,Total,"Number on youth impacted
by parental death, thousands",2018,75165.01560512788,71718.43751713753,78979.462080206
Drugs and Firearms,Total,"Percent of youth impacted
by parental death",2018,0.0010242488581651554,9.772834761615583e-4,0.0010762270612584084
Drugs and Firearms,Total,"Number on youth impacted
by parental death, thousands",2019,77169.02070351009,73467.22800472661,81386.44412446675
Drugs and Firearms,Total,"Percent of youth impacted
by parental death",2019,0.001055827331710557,0.001005179366088202,0.0011135301621553102
Drugs and Firearms,Total,"Number on youth impacted
by parental death, thousands",2020,97768.21203226426,92966.69200379142,103031.59865488904
Drugs and Firearms,Total,"Percent of youth impacted
by parental death",2020,0.0013425621422474276,0.0012766272245326282,0.0014148394548080339
