cause_cat,race_cat,metric_cat,year,median,lower95,upper95
Drug Poisonings,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2015,1157.9599979979807,1013.5457819457444,1315.501147628276
Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2015,639.3276673761337,545.0612188965003,735.5485402123555
Drug Poisonings,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2016,1607.190771657885,1413.8679331200287,1817.1490936449668
Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2016,807.8218860370569,697.043623766902,936.7231471635433
Drug Poisonings,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2017,1852.347453416624,1654.2559923725648,2085.706154432145
Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2017,773.7444541459568,660.1326418071963,892.8914870730033
Drug Poisonings,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2018,1793.2201909965695,1605.7918866119453,2013.3237913402431
Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2018,882.5511184147708,766.8464616452488,1010.4993062937372
Drug Poisonings,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2019,2138.3392323607977,1911.73992120999,2381.547076943174
Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2019,837.5403217828083,725.88273116866,955.5738631175087
Drug Poisonings,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2020,3206.208018884028,2886.3599675019877,3550.527485646158
Firearms,Non-Hispanic Black,"Number on youth impacted
by parental death, thousands",2020,1148.4104807559493,1010.0672101233097,1302.4989827038853
Drug Poisonings,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",1999,7608.181396483942,6769.110000592375,8500.1100932998
Firearms,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",1999,8688.917962065,7893.981634391334,9498.766910589462
Drug Poisonings,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2000,8007.9261503005255,7266.320368537714,8902.502225127802
Firearms,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2000,8602.255643365019,7865.320467614815,9451.72570961555
Drug Poisonings,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2001,8822.408374394709,8013.678924789207,9674.989716486907
Firearms,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2001,8828.459509630578,8137.226094163053,9622.87485916691
Drug Poisonings,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2002,10403.366054993729,9513.63639895442,11351.616211916604
Firearms,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2002,8847.728341959237,8162.4927032852365,9591.554252500475
Drug Poisonings,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2003,11078.574863016771,10170.059807056046,12010.699984951003
Firearms,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2003,8595.680420968385,7970.583091359194,9251.934416618795
Drug Poisonings,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2004,11530.581104251934,10647.168614134142,12404.866185681067
Firearms,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2004,8362.378484482739,7789.4876455283875,9012.12951998289
Drug Poisonings,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2005,11984.496462155148,11100.660458772234,12971.182177274824
Firearms,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2005,8361.92180474698,7805.355329304347,8972.482019282706
Drug Poisonings,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2006,13609.955263537971,12648.656307964387,14560.536365622931
Firearms,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2006,8195.14811368811,7665.854584274506,8803.839104494282
Drug Poisonings,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2007,14017.842608980924,13089.649248714142,15014.740811732088
Firearms,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2007,8506.77344342291,7943.001581493101,9068.715281912322
Drug Poisonings,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2008,13968.004168732712,13058.895268147711,14987.918274396794
Firearms,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2008,8715.681492348696,8161.411146878631,9340.458339331688
Drug Poisonings,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2009,13984.39066072087,13048.132934331197,14881.925758629577
Firearms,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2009,8526.613695030626,7999.425254131188,9123.386113742583
Drug Poisonings,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2010,14148.978937004233,13155.052739644485,15170.702897303805
Firearms,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2010,8919.524950679224,8350.101199287383,9548.905586458119
Drug Poisonings,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2011,15156.798273636437,14120.816208901733,16257.290100674032
Firearms,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2011,8771.32531482909,8230.575596901368,9364.696151673472
Drug Poisonings,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2012,15123.808267598048,14152.723496506935,16164.988653794015
Firearms,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2012,8840.03863997124,8283.850649375747,9421.20794566756
Drug Poisonings,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2013,15636.536876337654,14576.04733678525,16780.175045536562
Firearms,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2013,8894.75082252366,8373.685713387258,9490.17689471855
Drug Poisonings,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2014,17001.069410980068,15896.806499705259,18204.888562361888
Firearms,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2014,8595.3530884785,8045.045335999105,9141.19546847441
Drug Poisonings,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2015,19395.414948261394,18056.512548899278,20734.25582840439
Firearms,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2015,9131.40841412983,8568.71059190314,9765.760100571266
Drug Poisonings,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2016,24075.789631470907,22495.376143110916,25897.031667384294
Firearms,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2016,9418.885680368376,8829.927581246442,10041.259825095332
Drug Poisonings,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2017,26569.267072441733,24827.290050008578,28340.052509320914
Firearms,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2017,9523.721876715343,8919.716501762181,10155.55417416158
Drug Poisonings,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2018,24917.7475748681,23117.540253992414,26697.806152925416
Firearms,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2018,9396.298831014707,8797.3032529725715,10041.444788976103
Drug Poisonings,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2019,25320.362688894405,23600.856919491325,27032.74100824191
Firearms,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2019,9144.50625763999,8543.387386230836,9764.503783953236
Drug Poisonings,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2020,32425.509817748745,30202.858521377897,34873.480000818665
Firearms,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",2020,9497.299242956193,8887.776110125458,10132.358075989347
Drug Poisonings,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",1999,3623.1334432150616,3165.1701311900943,4150.254857808079
Firearms,Non-Hispanic White,"Number on youth impacted
by parental death, thousands",1999,1962.1323809337948,1688.0937753945914,2252.1373164741167
